drug_name,brd_id,sig_id,score,pvalue,qvalue,zscore,cell_line,dose,time,moa,target,phase,confidence
"(S)-2-((9-([1,1'-biphenyl]-4-ylmethyl)-2-((2,3-dihydro-1H-inden-5-yl)oxy)-9H-purin-6-yl)amino)-3-phenylpropan-1-ol",BRD-K02526760-001-01-5,CPC006_HT29_24H:BRD-K02526760-001-01-5:10,-6.8179,0.000258425134256442,0.143674306134858,1.900362164854504,HT29,10,24H,,,,medium
Awl-II-38.3,BRD-K68191783-001-01-2,CPC013_PC3_24H:BRD-K68191783-001-01-2:10,-6.6564,0.000151690988440703,0.0983899927902734,1.7429513832121164,PC3,10,24H,,,,medium
"Acetic acid [2-(4-acetamido-6-phenyl-1,3,5-triazin-2-yl)phenyl] ester",BRD-K37549600-001-01-0,CPC019_HT29_6H:BRD-K37549600-001-01-0:10,-6.5439,0.000123764107705904,0.0957349706036802,1.6747335951872628,HT29,10,6H,,,,medium
RG 13022,BRD-K82688027-001-01-5,CPC001_VCAP_24H:BRD-K82688027-001-01-5:10,-6.3527,0.000427666808184289,0.170634907488047,1.8856828052931467,VCAP,10,24H,,,,medium
YK-4-279,BRD-A62182663-001-01-4,ERG011_VCAP_24H:BRD-A62182663-001-01-4:2,-6.2573,0.000139145741936584,0.0958041294275837,1.6225321560863204,VCAP,2,24H,apoptosis inhibitor,EWSR1 | FLI1,,medium
"10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",BRD-A59985574-003-01-9,CPC012_HCC515_6H:BRD-A59985574-003-01-9:10,-6.24,0.000344546233628498,0.170634907488047,1.8020401999313411,HCC515,10,6H,,,,medium
"N'-(2-aminophenyl)-N-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]heptanediamide",BRD-K86899078-001-01-2,CPC019_PC3_24H:BRD-K86899078-001-01-2:10,-6.1963,0.000160562318903112,0.102431627040414,1.6330257840394353,PC3,10,24H,,,,medium
BRD-K36153907-001-03-8,BRD-K36153907-001-03-8,CPC008_VCAP_24H:BRD-K36153907-001-03-8:10,-6.1915,0.000392683950490305,0.170634907488047,1.8178444238585922,VCAP,10,24H,,,,medium
batimastat,BRD-K82818427-001-01-4,CPC006_HCC515_24H:BRD-K82818427-001-01-4:44.4,-5.9743,0.000512040326595464,0.170634907488047,1.8155055384092886,HCC515,44.4,24H,matrix metalloprotease inhibitor,ADAM28 | ADAMTS5 | MMP1 | MMP12 | MMP16 | MMP2 | MMP8,,medium
dovitinib,BRD-K85402309-001-01-7,CPC014_A375_6H:BRD-K85402309-001-01-7:10,-5.962,0.000433732406211222,0.170634907488047,1.772946158076586,A375,10,6H,EGFR inhibitor | FGFR inhibitor | FLT3 inhibitor | PDGFR tyrosine kinase receptor inhibitor | VEGFR inhibitor,CSF1R | EGFR | FGFR1 | FGFR2 | FGFR3 | FLT1 | FLT3 | FLT4 | INSR | KDR | KIT | PDGFRA | PDGFRB,,medium
BRD-K10882151-001-06-8,BRD-K10882151-001-06-8,CPC006_A375_6H:BRD-K10882151-001-06-8:40,-5.9584,0.000540513787567681,0.170634907488047,1.823707751786851,A375,40,6H,,,,medium
selumetinib,BRD-K57080016-001-04-3,CPC006_HCC15_6H:BRD-K57080016-001-04-3:80,-5.8764,0.000547825816944285,0.170634907488047,1.8018253676336426,HCC15,80,6H,MEK inhibitor,MAP2K1 | MAP2K2,,medium
BRD-A02481876-001-09-9,BRD-A02481876-001-09-9,CPC006_PC3_6H:BRD-A02481876-001-09-9:60,-5.7224,0.000658738170001561,0.170634907488047,1.7987583994836573,PC3,60,6H,,,,medium
"(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",BRD-A77824596-001-03-2,CPC005_A549_24H:BRD-A77824596-001-03-2:10,-5.7063,0.000675941888116749,0.170634907488047,1.8000370309276041,A549,10,24H,,,,medium
"3-(1H-indazol-6-yl)-1-propan-2-yl-4-pyrazolo[3,4-d]pyrimidinamine",BRD-K03618428-001-01-3,CPC006_HCC515_24H:BRD-K03618428-001-01-3:22.2,-5.6703,0.00076739411869988,0.170634907488047,1.8203377617684058,HCC515,22.2,24H,,,,medium
"7-Ethyl-10-hydroxy camptothecin, (rac)-",BRD-A36630025-001-02-6,CPC006_RMUGS_6H:BRD-A36630025-001-02-6:0.35,-5.6036,0.000720516692829789,0.170634907488047,1.783259382731723,RMUGS,0.35,6H,,,,medium
"1-((3,4-Difluorophenyl)methyl)-2-oxo-N-((1R)-2-((2-oxo-2,3-dihydro-1H-benzimidazol-5-yl)oxy)-1-phenylethyl)-1,2-dihydropyridine-3-carboxamide",BRD-K09186807-001-01-6,CPC014_HT29_6H:BRD-K09186807-001-01-6:10,-5.5877,0.000593371843821855,0.170634907488047,1.7317248152625722,HT29,10,6H,,,,medium
lovastatin,BRD-K09416995-001-21-7,CPC003_HA1E_24H:BRD-K09416995-001-21-7:10,-5.5545,0.000837051334357025,0.170634907488047,1.8050219487244255,HA1E,10,24H,HMGCR inhibitor,CYP3A5 | HDAC2 | HMGCR | ITGAL | NR1I2,,medium
"(7S,9S)-7-[[(4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-9-(2-hydroxy-1-oxoethyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",BRD-A52530684-001-01-1,CPC018_A375_6H:BRD-A52530684-001-01-1:10,-5.5051,0.000585578481647285,0.170634907488047,1.7030991322582887,A375,10,6H,,,,medium
Erythrosin(E),BRD-K14920963-304-01-9,CPC004_HA1E_24H:BRD-K14920963-304-01-9:10,-5.4486,0.000879046448904508,0.17314317705545,1.7829111307476084,HA1E,10,24H,,,,medium
YC-1,BRD-K60476892-001-02-1,CVD001_HUH7_6H:BRD-K60476892-001-02-1:16.4289,-5.416,0.000570236448321795,0.170634907488047,1.6695814605516612,HUH7,16.4289,6H,guanylyl cyclase activator,GUCY1A2 | GUCY1A3 | GUCY1B3 | HIF1A,,medium
Amberlite CG 400,BRD-A51410489-003-02-8,CPC016_MCF7_24H:BRD-A51410489-003-02-8:10,-5.4145,0.000633587223848704,0.170634907488047,1.693000544405012,MCF7,10,24H,,,,medium
BRD-K56653679-001-01-2,BRD-K56653679-001-01-2,CPC012_HA1E_6H:BRD-K56653679-001-01-2:10,-5.3409,0.000738986675476377,0.170634907488047,1.70562307962057,HA1E,10,6H,,,,medium
ITK inhibitor,BRD-A29901043-001-01-0,CPC014_MCF7_6H:BRD-A29901043-001-01-0:10,-5.3187,0.000738986675476377,0.170634907488047,1.6985321476647466,MCF7,10,6H,,,,medium
BRD-A74904029-001-05-7,BRD-A74904029-001-05-7,CPC014_MCF7_6H:BRD-A74904029-001-05-7:10,-5.2894,0.000748361487880463,0.170634907488047,1.692121361034965,MCF7,10,6H,,,,medium
BRD-K63569039-001-04-0,BRD-K63569039-001-04-0,CPC007_VCAP_6H:BRD-K63569039-001-04-0:10,-5.2861,0.000933865211166065,0.176113814206203,1.7447456780208073,VCAP,10,6H,,,,medium
CGP-60474,BRD-K79090631-001-18-1,LJP001_SKBR3_6H:BRD-K79090631-001-18-1:0.08,-5.2293,0.000641884450043951,0.170634907488047,1.6379736716976838,SKBR3,0.08,6H,CDK inhibitor,CDK1 | CDK2,,medium
"(3S,3'S,4'R,5'S)-4'-[fluoro(dimethyl)silyl]-5'-(2-hydroxyethyl)-3'-methyl-5-(2-oxo-1-piperidinyl)-1-prop-2-enyl-2-spiro[indole-3,2'-oxolane]one",BRD-K82971429-001-01-9,CPC012_MCF7_24H:BRD-K82971429-001-01-9:10,-5.1908,0.000991350439370097,0.182140433300405,1.7280924843852432,MCF7,10,24H,,,,medium
alvocidib,BRD-K87909389-001-04-6,LJP001_SKBR3_6H:BRD-K87909389-001-04-6:0.08,-5.1894,0.000667295954884253,0.170634907488047,1.634107390510975,SKBR3,0.08,6H,CDK inhibitor,BCL2 | BIRC5 | CCNT1 | CDK1 | CDK2 | CDK4 | CDK5 | CDK6 | CDK7 | CDK8 | CDK9 | EGFR | MCL1 | PYGM | XIAP,,medium
"(1R,9S,12S,15R,16Z,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-12-[(2R)-1-[(1S,3R,4R)-4-dimethylphosphoryloxy-3-methoxycyclohexyl]propan-2-yl]-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",BRD-K29733039-001-01-1,CPC013_PC3_6H:BRD-K29733039-001-01-1:10,-5.041,0.00101511140490307,0.18321523258115,1.6839953254783113,PC3,10,6H,,,,medium
beclomethasone-dipropionate,BRD-K97810537-001-09-4,CPC020_A375_6H:BRD-K97810537-001-09-4:10,-4.9384,0.000945146059473972,0.176684531266468,1.6327959273810266,A375,10,6H,glucocorticoid receptor agonist,CYP3A5 | GPR97 | NR3C1,,medium
NSC-95397,BRD-K68143200-001-04-2,CPC003_PC3_24H:BRD-K68143200-001-04-2:10,-4.6499,0.00288738949090266,0.292575571944643,1.831047193702424,PC3,10,24H,CDC inhibitor,CASP3 | CDC25A | CDC25B,,low
PI-103,BRD-K67868012-003-01-5,CPC006_HCC515_24H:BRD-K67868012-003-01-5:11.1,-4.5155,0.00322618065325763,0.292575571944643,1.812518259583613,HCC515,11.1,24H,mTOR inhibitor | PI3K inhibitor,MTOR | PIK3CA | PIK3CB | PIK3CD | PIK3CG | PRKDC,,low
calcipotriol,BRD-K56429665-001-03-9,CPC005_PC3_24H:BRD-K56429665-001-03-9:10,-4.4439,0.0034432332381302,0.292575571944643,1.8042290648008414,PC3,10,24H,vitamin D receptor agonist,VDR,,low
PP-2,BRD-K95785537-001-09-0,CPC002_PC3_6H:BRD-K95785537-001-09-0:10,-4.4316,0.00374937194090034,0.292575571944643,1.8266825286110677,PC3,10,6H,SRC inhibitor,ABL1 | LCK | RIPK2 | SRC,,low
WZ-3146,BRD-K73293050-001-01-5,CPC014_ASC_24H:BRD-K73293050-001-01-5:10,-4.227,0.00333338656690784,0.292575571944643,1.7064153864450105,ASC,10,24H,EGFR inhibitor,EGFR,,low
indirubin-3-monoxime,BRD-K19136521-001-03-0,CPC004_PC3_6H:BRD-K19136521-001-03-0:10,-4.2237,0.00416001111767976,0.292575571944643,1.7740039676326338,PC3,10,6H,CDK inhibitor | glycogen synthase kinase inhibitor,CCNE1 | CDK1 | CDK2 | CDK4 | CDK5 | CDK5R1 | CDK9 | GSK3B | LCK | LRRK1 | LRRK2,,low
trichostatin-a,BRD-K68202742-001-06-6,CPC012_MCF7_6H:BRD-K68202742-001-06-6:10,-4.1337,0.00382897419013385,0.292575571944643,1.7103013251866632,MCF7,10,6H,HDAC inhibitor,HDAC1 | HDAC10 | HDAC2 | HDAC3 | HDAC4 | HDAC5 | HDAC6 | HDAC7 | HDAC8 | HDAC9,,low
